issuer,all_count,free_count,paid_count,none_count
Digital Assets Council of Financial Professionals,43,0,10,33
Society of Certified Senior Advisors,43,0,0,43
TIBCO Software Inc.,43,0,0,43
SUNY CPD,42,29,10,3
CFRE International,42,0,42,0
Registry of Interpreters for the Deaf,42,0,11,31
AWS Support Engineering,42,0,0,42
DDI,41,0,41,0
Booz Allen Hamilton,40,9,0,31
Utel Universidad,40,7,32,1
Psychotherapy and Counselling Federation of Australia,40,0,40,0
American Institute of CPAs,40,0,40,0
CPA Australia,40,0,16,24
OpenText,40,0,19,21
Northeastern University,40,0,1,39
American Institute of Certified Planners (AICP),40,0,0,40
Microsoft - Lange International,40,0,0,40
Snowflake Partner Network,39,39,0,0
Credly,39,16,0,23
Nokia,39,1,38,0
Association for Financial Professionals,39,1,4,34
Smartsheet,39,0,32,7
New Horizons Computer Learning Centers,39,0,39,0
Hudson Institute of Coaching,39,0,31,8
Microsoft - Wharton,39,0,0,39
CyberArk,38,23,15,0
Universidad EAFIT,38,1,27,10
BICSI ICT Certification Institute,38,0,38,0
Blue Prism,38,0,33,5
The Institutes,38,0,38,0
Australian Institute of Training and Development,38,0,0,38
Warfighting Acquisition University (formerly DAU),38,0,0,38
Hack The Box,37,0,37,0
Concordia University,37,0,0,37
KPMG International,37,0,0,37
.NET on AWS,36,34,0,2
Zurich Insurance,36,9,0,27
OneStream Software,36,0,36,0
Forum for International Trade Training (FITT),36,0,10,26
Rubrik,36,0,0,36
GAIN Academy,36,0,0,36
Datadog,35,18,16,1
Hitachi Vantara,35,2,33,0
CIM | Chartered Managers Canada,35,0,35,0
Training Industry,35,0,21,14
Randstad RiseSmart,35,0,0,35
Instituto Tecnológico Autónomo de México,35,0,0,35
National Centre for Computing Education (NCCE),35,0,0,35
Alation University,34,16,0,18
CQUniversity,34,9,14,11
ERICSSON,34,1,2,31
Intuit Job Readiness,34,1,0,33
Solace,33,28,4,1
Linux Professional Institute,33,0,33,0
GED Testing Service,33,0,0,33
SHRM Foundation,32,31,0,1
AWS Strategic Partner Programs,32,32,0,0
TEKsystems,32,16,0,16
Software AG,32,32,0,0
IASA Global,32,2,0,30
Dynatrace,32,1,17,14
Online Learning Consortium,32,0,32,0
Columbia Coaching Center of Excellence (CCOE),32,0,32,0
Consortium for Service Innovation,32,0,32,0
Appcues,31,31,0,0
FLAG,31,2,29,0
Universidad Tecmilenio,31,1,30,0
Arctera,31,1,4,26
National Certification Board for Therapeutic Massage & Bodywork (NCBTMB),31,0,31,0
"International Risk Management Institute, Inc.",31,0,31,0
Mastermind Assurance,31,0,31,0
PCMA Institute,31,0,30,1
DRI International,31,0,31,0
Microsoft Security Marketing Program,30,30,0,0
International Association of Eating Disorders Professionals,30,0,30,0
Ookla (Speedtest and Ekahau) Training Center,30,0,30,0
Canadian Professional Sales Association,30,0,0,30
Global Power Platform & Agent Bootcamp,30,0,0,30
Harness Inc,29,18,3,8
HFI Training,29,0,2,27
The International Federation of Technical Analysts Inc.,29,0,29,0
Roy Group Leadership Inc.,29,0,29,0
CMAA,29,0,20,9
Boston Consulting Group (BCG),29,0,0,29
CEED/CGEC - uOttawa,28,28,0,0
Lucid Software,28,28,0,0
Purdue University Global,28,1,4,23
InterSystems,28,0,19,9
IFMA,28,0,17,11
Microsoft Viva Insights,28,0,0,28
WorldatWork,28,0,0,28
NALA - The Paralegal Association,28,0,0,28
National Council of Examiners for Engineering and Surveying,28,0,0,28
Microsoft - Cloud Platform University,28,0,0,28
Extreme Networks,27,14,8,5
Avaya,27,14,13,0
The SANS Institute,27,2,0,25
Academy Xi,27,2,25,0
Heroic Public Speaking,27,0,26,1
Codefresh,27,0,27,0
Essential Impact,27,0,27,0
Learning @ Morning Brew,27,0,27,0
IECL,27,0,27,0
Ericsson Enterprise Wireless Solutions,27,0,0,27
Australasian Institute of Digital Health (AIDH),26,2,24,0
ABB Asea Brown Boveri Ltd,26,15,8,3
University of Minnesota,26,7,15,4
The University of Vermont Professional and Continuing Education,26,0,26,0
EMURGO Academy,26,0,26,0
Circuit Stream,26,0,26,0
Nonprofit Leadership Alliance,26,0,4,22
Operam Academy,26,0,26,0
Rapid7,26,0,1,25
Sigma Nursing,26,0,1,25
Governance Institute,26,0,0,26
Career Thought Leaders | Resume Writing Academy,25,0,24,1
The CCIM Institute,25,0,25,0
Franklin University,25,0,10,15
ISDI,25,0,4,21
Vodafone,25,0,0,25
Eleven Fifty Academy,25,0,0,25
Nirmata,24,23,0,1
MYOB,24,23,0,1
Workiva,24,24,0,0
Universidad Santo Tomás,24,17,0,7
HITEC,24,14,0,10
Gainsight,24,2,22,0
Practical DevSecOps,24,0,24,0
Center for Legal Studies,24,0,24,0
True Colors,24,0,23,1
Aperian,24,0,24,0
Chartered Institute of Information Security,24,0,24,0
Bridge Education Group,24,0,21,3
Freshworks,24,0,0,24
Google Career Certificates,24,0,0,24
Certification Board for Music Therapists,24,0,0,24
Microsoft In a Day Program,24,0,0,24
WorldSkills,24,0,0,24
ITSMA,24,0,0,24
Kinaxis,24,0,0,24
HashiCorp Professional Services,24,0,0,24
SUNY Online,23,11,12,0
Microsoft Global Employee Engagement,23,19,0,4
Kong,23,12,8,3
Siemens Software,23,12,1,10
AWS WWCS Solution Architect,23,22,0,1
VMware Cloud Experts,23,23,0,0
Microsoft Africa Development Center,23,20,0,3
Diligent,23,3,18,2
EnterpriseDB,23,1,10,12
Coach Masters Academy,23,0,23,0
Data Coach,23,0,23,0
Vlerick Business School,23,0,3,20
DigiCert,23,0,6,17
Study.com,23,0,0,23
Board of Pharmacy Specialties,23,0,0,23
Institute of Singapore Chartered Accountants,23,0,0,23
Okta Elevate,23,0,0,23
Microsoft FastTrack,23,0,0,23
Armis,22,10,0,12
Twitter,22,22,0,0
Fandom,22,22,0,0
P&G,22,19,2,1
HP Inc.,22,22,0,0
BEDU,22,7,15,0
ThoughtSpot,22,6,15,1
NABCEP,22,0,22,0
WERC Talent Everywhere (Worldwide ERC®),22,0,17,5
Echelon Front,22,0,7,15
"Schulich ExecEd, Schulich School of Business, York University",22,0,0,22
Huawei,22,0,0,22
The BCI,22,0,0,22
Pearson,22,0,0,22
Deloitte Certified US,22,0,0,22
Girl Scouts of the USA,22,0,0,22
TTC Institute,22,0,0,22
NAIFA,21,11,10,0
National Fire Protection Association®,21,0,18,3
TRACOM Group,21,0,21,0
GF Institute,21,0,16,5
BetterWork Media Group,21,0,12,9
Australian and New Zealand Institute of Insurance and Finance,21,0,20,1
PTC,21,0,21,0
OKR International,21,0,21,0
AdobeEDU,21,0,0,21
Pearson English Language Learning,21,0,0,21
National Association of Software & Services Companies (NASSCOM),21,0,0,21
National Association of Secondary School Principals,21,0,0,21
IFEBP,21,0,0,21
Amplitude,21,0,0,21
Korn Ferry,21,0,0,21
Federal Reserve Bank of St. Louis,20,18,0,2
NetHope,20,11,9,0
TMS Global,20,0,19,1
Society of Tribologists and Lubrication Engineers (STLE),20,0,17,3
ACI Learning,20,0,20,0
Visa University,20,0,1,19
mthree Academy,20,0,3,17
Entomological Society of America,20,0,1,19
CipherTrace,20,0,0,20
Cornerstone,20,0,0,20
Microsoft - London Business School,20,0,0,20
BMO,20,0,0,20
ProKanban.org,20,0,0,20
Universidad Virtual Liverpool,19,13,0,6
Monash University,19,3,15,1
FourBlock,19,12,0,7
Virginia Commonwealth University,19,6,7,6
Association of Clinical Research Professionals (ACRP),19,0,11,8
"RIMS, the risk management society",19,0,9,10
UPCEA,19,0,8,11
ACT,19,0,4,15
Board for Global EHS Credentialing,19,0,0,19
