issuer,all_count,free_count,paid_count,none_count
Jamf,81,57,24,0
AWS Support Engineering,81,0,0,81
AT&T College Recruiting,80,80,0,0
Docusign,80,0,0,80
GAIN Academy,80,0,0,80
NASA Open Science,79,79,0,0
Zerto,79,75,0,4
IDPro,79,53,16,10
IFS,79,0,0,79
Warfighting Acquisition University (formerly DAU),78,0,0,78
Zurich Insurance,77,21,0,56
EFQM,76,6,70,0
USF Office of Corporate Training and Professional Education,76,0,8,68
Australian Institute of Training and Development,76,0,0,76
OET,76,0,0,76
Optimizely,75,21,26,28
VMware Skyline,74,74,0,0
Alation University,73,34,0,39
New Horizons Computer Learning Centers,73,0,73,0
International Project Management Association (IPMA),72,20,52,0
National Board for Health & Wellness Coaching,72,0,72,0
RIPE NCC,72,0,72,0
Centri,72,0,71,1
Association of Change Management Professionals®,71,2,69,0
AVIXA,71,0,71,0
National Association for Healthcare Quality® (NAHQ),71,0,71,0
ASAE,71,0,71,0
Randstad RiseSmart,71,0,0,71
TEKsystems,70,35,0,35
National Board for Professional Teaching Standards,70,0,0,70
ERICSSON,69,3,2,64
Solace,68,58,7,3
Utel Universidad,68,9,58,1
American Institute of CPAs,68,0,68,0
Pinterest,67,67,0,0
IASA Global,67,4,0,63
Bloom Institute of Technology,67,0,0,67
Smartsheet,66,0,53,13
The Coaching Academy,66,0,60,6
OpenText,66,0,32,34
DRI International,65,0,65,0
Digital Assets Council of Financial Professionals,65,0,14,51
DDI,64,0,64,0
Columbia Coaching Center of Excellence (CCOE),63,0,63,0
Healthcare Financial Management Association,63,0,0,63
TIBCO Software Inc.,63,0,0,63
SHRM Foundation,62,60,0,2
Booz Allen Hamilton,62,15,0,47
CyberArk,62,39,23,0
IECL,62,0,62,0
Nokia,61,3,58,0
CPA Australia,61,0,24,37
Forum for International Trade Training (FITT),61,0,21,40
.NET on AWS,60,55,0,5
Bentley Systems,60,10,0,50
FLAG,60,6,54,0
Everpure Certification (formerly Pure Storage),60,0,49,11
Consortium for Service Innovation,60,0,60,0
Training Industry,59,0,37,22
Sarmaaya Financials,59,0,59,0
Credly,58,20,0,38
CQUniversity,58,15,26,17
Resilience-Building Leader Program,58,0,19,39
Blue Prism,57,0,46,11
Chainlink Labs,56,56,0,0
Harness Inc,56,34,6,16
Lucid Software,56,56,0,0
Learning @ Morning Brew,56,0,56,0
ITSMA,56,0,0,56
Microsoft - Cloud Platform University,56,0,0,56
Heroic Public Speaking,55,0,54,1
OBM School,55,0,55,0
Essential Impact,55,0,55,0
Aperian,55,0,55,0
American Institute of Certified Planners (AICP),55,0,0,55
ABB Asea Brown Boveri Ltd,54,32,17,5
Gainsight,54,4,50,0
iTTi,54,2,52,0
CMAA,54,0,37,17
DigiCert,54,0,13,41
HP Inc.,53,53,0,0
Academy Xi,53,3,50,0
